"VIDEO","NUMBER_OF_HITS","HIT_INTENSITY","NUMBER_OF_TUG","TOTAL_FRAMES_IN_TUG","NUMBER_OF_JERK_FRAMES","TIME","NUMBER_OF_RINGDROP","VARIANCE","ARC_LENGTH","CURVATURE_MAX_COUNT"
"E6_t8_aug_perturb_X","2","1","20","33","3","30.84","0","0.02918502188306961","3.7849114676345637","15"
"E6_t8_aug_perturb_Y","2","1","20","33","3","30.84","0","0.02828187813033209","3.6440051749250655","11"
"E6_t9_aug_perturb_X","1","0","6","34","0","28.84","0","0.04104926491563841","4.887299707123467","7"
"E6_t9_aug_perturb_Y","1","0","6","34","0","28.84","0","0.040885266875473635","4.7389310294327975","12"
"T1_1_t1_aug_perturb_X","3","0","1","2","0","45.0","0","0.026403078021568157","4.503508068953629","19"
"T1_1_t1_aug_perturb_Y","3","0","1","2","0","45.0","0","0.025742197229029422","4.286913419148847","22"
"T1_1_t10_aug_perturb_X","1","0","0","0","2","35.72","0","0.029818418178004208","4.559962829507947","13"
"T1_1_t10_aug_perturb_Y","1","0","0","0","2","35.72","0","0.0321108267563521","4.738430456126985","19"
"T1_1_t11_aug_perturb_X","1","0","0","0","4","44.72","0","0.026161403664849717","5.0317548127733565","16"
"T1_1_t11_aug_perturb_Y","1","0","0","0","4","44.72","0","0.028352285836486208","5.402887269716785","25"
"T1_1_t12_aug_perturb_X","4","1","2","24","7","48.6","0","0.02890329373409376","5.8600937920283265","19"
"T1_1_t12_aug_perturb_Y","4","1","2","24","7","48.6","0","0.029333340820507474","5.8578312749144335","25"
"T1_1_t2_aug_perturb_X","1","0","2","48","0","52.84","0","0.02710671155889978","5.855723097951832","19"
"T1_1_t2_aug_perturb_Y","1","0","2","48","0","52.84","0","0.028280090247273057","5.921886678535284","31"
"T1_1_t3_aug_perturb_X","2","0","1","8","1","39.6","0","0.02354481405210531","3.9380389602038215","21"
"T1_1_t3_aug_perturb_Y","2","0","1","8","1","39.6","0","0.025623366079877974","4.194686572953181","22"
"T1_1_t4_aug_perturb_X","1","0","1","9","0","31.76","0","0.031199073466191926","4.30678796346648","8"
"T1_1_t4_aug_perturb_Y","1","0","1","9","0","31.76","0","0.033259997656616795","4.4979183208602755","12"
"T1_1_t5_aug_perturb_X","0","0","1","4","1","62.6","0","0.03927060179344052","8.264255271762005","22"
"T1_1_t5_aug_perturb_Y","0","0","1","4","1","62.6","0","0.04166060845497589","8.824611988644646","29"
"T1_1_t6_aug_perturb_X","4","0","0","0","8","49.72","0","0.04144979199972863","8.230988685651317","18"
"T1_1_t6_aug_perturb_Y","4","0","0","0","8","49.72","0","0.047158943884711216","9.408568163904647","16"
"T1_1_t7_aug_perturb_X","2","0","0","0","2","34.8","0","0.028443540219818313","4.170343447976928","10"
"T1_1_t7_aug_perturb_Y","2","0","0","0","2","34.8","0","0.029656794569991273","4.297754136445648","15"
"T1_1_t8_aug_perturb_X","0","0","2","2","4","47.76","0","0.03595549364776897","7.144656399474995","13"
"T1_1_t8_aug_perturb_Y","0","0","2","2","4","47.76","0","0.03664379679958901","7.211098426095323","19"
"T1_1_t9_aug_perturb_X","1","0","0","0","2","58.76","0","0.030709270713154276","6.3441338121981286","27"
"T1_1_t9_aug_perturb_Y","1","0","0","0","2","58.76","0","0.03265582200477179","6.728088143937717","28"
"T3_2_t1_aug_perturb_X","2","0","0","0","1","23.0","0","0.03403119672945268","3.19060718983327","5"
"T3_2_t1_aug_perturb_Y","2","0","0","0","1","23.0","0","0.033892348072548595","3.121561770227113","8"
"T3_2_t10_aug_perturb_X","3","0","0","0","3","19.84","0","0.03740269178751654","3.0540532003913237","5"
"T3_2_t10_aug_perturb_Y","3","0","0","0","3","19.84","0","0.039930731350696747","3.275881089941702","7"
"T3_2_t11_aug_perturb_X","1","1","0","0","1","24.64","0","0.03245226980333175","3.2666190913286863","9"
"T3_2_t11_aug_perturb_Y","1","1","0","0","1","24.64","0","0.03350102960014213","3.3211680589143264","10"
"T3_2_t12_aug_perturb_X","2","0","0","0","6","33.72","0","0.043643794624638486","5.0190467444146405","11"
"T3_2_t12_aug_perturb_Y","2","0","0","0","6","33.72","0","0.04477014666009131","5.128525029294631","13"
"T3_2_t2_aug_perturb_X","1","0","0","0","0","15.96","0","0.044636882736377774","2.816944646742455","3"
"T3_2_t2_aug_perturb_Y","1","0","0","0","0","15.96","0","0.04428213476428708","2.8600032716091004","4"
"T3_2_t3_aug_perturb_X","0","0","0","0","0","12.6","0","0.05697389177202536","3.0645311365487387","4"
"T3_2_t3_aug_perturb_Y","0","0","0","0","0","12.6","0","0.05498106651121311","2.9405408069118657","6"
"T3_2_t4_aug_perturb_X","0","0","0","0","0","15.6","0","0.04875928764734901","3.3283781987562664","1"
"T3_2_t4_aug_perturb_Y","0","0","0","0","0","15.6","0","0.05024244304066682","3.4592762621314646","4"
"T3_2_t5_aug_perturb_X","0","0","0","0","0","13.72","0","0.06915449476344858","3.995081454782079","1"
"T3_2_t5_aug_perturb_Y","0","0","0","0","0","13.72","0","0.07203124600004925","4.0951168833848115","3"
"T3_2_t6_aug_perturb_X","3","0","1","7","1","20.76","0","0.05136560002475549","4.44036493099193","6"
"T3_2_t6_aug_perturb_Y","3","0","1","7","1","20.76","0","0.052788297765240355","4.557217536337587","6"
"T3_2_t7_aug_perturb_X","1","0","0","0","0","24.6","0","0.032436089286012756","3.3807839607961654","9"
"T3_2_t7_aug_perturb_Y","1","0","0","0","0","24.6","0","0.03241018526719732","3.3586657485720632","10"
"T3_2_t8_aug_perturb_X","0","0","0","0","2","28.6","0","0.03414985436134672","4.060539300732649","20"
"T3_2_t8_aug_perturb_Y","0","0","0","0","2","28.6","0","0.03420113799963566","4.110845172624241","9"
"T3_2_t9_aug_perturb_X","1","0","0","0","2","13.76","0","0.047144894891747585","2.7241433615084967","5"
"T3_2_t9_aug_perturb_Y","1","0","0","0","2","13.76","0","0.04805043490503482","2.7323481411147434","5"
"T8_1_t1_aug_perturb_X","1","0","0","0","1","42.0","0","0.026845582284656277","3.9585316154495005","17"
"T8_1_t1_aug_perturb_Y","1","0","0","0","1","42.0","0","0.027031124153024055","3.923028621511564","13"
"T8_1_t10_aug_perturb_X","2","0","1","4","0","23.84","0","0.030904468721244267","3.0419939269029004","9"
"T8_1_t10_aug_perturb_Y","2","0","1","4","0","23.84","0","0.03138280992781865","3.0473737038351447","14"
"T8_1_t11_aug_perturb_X","0","0","0","0","2","25.84","0","0.03782026829490197","3.8630035023933473","10"
"T8_1_t11_aug_perturb_Y","0","0","0","0","2","25.84","0","0.03755302951667974","3.7432425393563276","17"
"T8_1_t12_aug_perturb_X","1","0","1","23","2","29.92","0","0.03968059183104667","4.310733962485056","12"
"T8_1_t12_aug_perturb_Y","1","0","1","23","2","29.92","0","0.040629446006897496","4.403483697587376","13"
"T8_1_t2_aug_perturb_X","2","0","1","21","0","53.76","0","0.02852368536038152","6.041516890385133","29"
"T8_1_t2_aug_perturb_Y","2","0","1","21","0","53.76","0","0.029267024724516335","6.19984166306051","18"
"T8_1_t3_aug_perturb_X","0","0","0","0","0","29.0","0","0.06839209309234726","5.714235801454362","10"
"T8_1_t3_aug_perturb_Y","0","0","0","0","0","29.0","0","0.06645954728494748","5.751123331150654","12"
"T8_1_t4_aug_perturb_X","3","0","1","17","3","32.72","0","0.03652783814916265","4.689451702712167","19"
"T8_1_t4_aug_perturb_Y","3","0","1","17","3","32.72","0","0.036421214077398255","4.709393122404092","13"
"T8_1_t5_aug_perturb_X","0","0","0","0","3","26.6","0","0.05099053149124023","5.338721382331441","7"
"T8_1_t5_aug_perturb_Y","0","0","0","0","3","26.6","0","0.05571052454660777","5.730856312785593","5"
"T8_1_t6_aug_perturb_X","2","0","0","0","0","27.72","0","0.0468023353728852","4.792200031242231","14"
"T8_1_t6_aug_perturb_Y","2","0","0","0","0","27.72","0","0.04710035628335759","4.870864753106357","17"
"T8_1_t7_aug_perturb_X","1","0","0","0","8","22.84","0","0.030004188055786158","2.72136349682347","10"
