"VIDEO","NUMBER_OF_HITS","HIT_INTENSITY","NUMBER_OF_TUG","TOTAL_FRAMES_IN_TUG","NUMBER_OF_JERK_FRAMES","TIME","NUMBER_OF_RINGDROP","VARIANCE_X","VARIANCE_Y","STD_DXDY","STD_DDXDDY","MOTION_SMOOTHNESS","SNAP","ARCLENGTH","CURVATUREMAXCOUNT"
"T8_1_t4_aug_pertub_X,perturb_Y","3","0","1","17","3","32.72","0","0.08594076969964122","0.011913403269686335","0.03746733898798322","0.04769885495359649","11.470335522790743","1.3235705878184714","4.8756798161903045","15"
"T8_1_t5_aug_perturb_X","0","0","0","0","3","26.6","0","0.010077795659455565","0.04346177046839296","0.051237198626342836","0.055219331312874986","7.928251369112476","1.3071184641738045","5.332329175051094","12"
"T8_1_t5_aug_perturb_Y","0","0","0","0","3","26.6","0","0.010081945292222389","0.044773547764317294","0.05245017920467948","0.057867373032281524","7.823375168136558","1.383811692419957","5.559728522705919","10"
"T8_1_t5_aug_pertub_X,perturb_Y","0","0","0","0","3","26.6","0","0.010081945292222389","0.04516045643531837","0.053436525612079976","0.06115587408552773","7.973264733730544","1.4969854994442293","5.475264268851115","12"
"T8_1_t6_aug_perturb_X","2","0","0","0","0","27.72","0","0.08161386515530653","0.04688618848918567","0.0470476919236","0.05777548033242922","10.280258034291563","1.476503433057947","4.810107997867138","12"
"T8_1_t6_aug_perturb_Y","2","0","0","0","0","27.72","0","0.08134502853218864","0.04685926201898411","0.04644895470725019","0.05753136193994321","10.213434801483132","1.5219251550242858","4.805013634488614","18"
"T8_1_t6_aug_pertub_X,perturb_Y","2","0","0","0","0","27.72","0","0.08134502853218864","0.046325642200391745","0.04737034953624339","0.06025841381749291","10.24366518468156","1.567982590904771","4.974108378444393","14"
"T8_1_t7_aug_perturb_X","1","0","0","0","8","22.84","0","0.09113892998694532","0.04613799616533562","0.030094689513402748","0.03352099332319632","9.612998457567858","0.766778742201347","2.7220941927513786","7"
"T8_1_t7_aug_perturb_Y","1","0","0","0","8","22.84","0","0.09135661463089206","0.04514855642235463","0.031052707709127082","0.035731591057018924","9.635447065631944","0.7971441465253566","2.9277749683545045","7"
"T8_1_t7_aug_pertub_X,perturb_Y","1","0","0","0","8","22.84","0","0.09135661463089206","0.045110348362937494","0.031927682055719046","0.039566995072485726","9.567948011580878","0.9609390209748089","2.9114432647288546","10"
"T8_1_t8_aug_perturb_X","0","0","0","0","0","25.84","0","0.017068283483007558","0.07120746270547192","0.038693681298910675","0.03597502434828113","9.238503283146878","0.9161984944636018","3.989023363537512","9"
"T8_1_t8_aug_perturb_Y","0","0","0","0","0","25.84","0","0.017530452998808642","0.07139480149809205","0.03840086202927385","0.03451409249354349","9.33344271465185","0.8550298746939221","4.003412939769216","12"
"T8_1_t8_aug_pertub_X,perturb_Y","0","0","0","0","0","25.84","0","0.017530452998808642","0.07142947944181133","0.03873076606126525","0.036904117425947146","9.216446521651015","0.9317315534597821","3.940753851545262","9"
"T8_1_t9_aug_perturb_X","0","0","0","0","4","22.84","0","0.016812652926780865","0.027453582324363162","0.041454299249104834","0.04046946699416758","6.6149308687039605","0.9224350107194631","3.6821437430499193","7"
"T8_1_t9_aug_perturb_Y","0","0","0","0","4","22.84","0","0.016708862484787985","0.026732686525850854","0.04214583394913755","0.042879351582498684","6.447536690069322","0.9666188735295308","3.752512887705204","11"
"T8_1_t9_aug_pertub_X,perturb_Y","0","0","0","0","4","22.84","0","0.016708862484787985","0.027136238844399713","0.043722405888845614","0.0480927829818937","6.7299471997242515","1.1657319258921175","3.9161625180884316","12"
"T9_1_t1_aug_perturb_X","1","0","0","0","0","30.0","0","0.007286273621291107","0.08136951849509413","0.026350937892169246","0.034018777894147076","12.914216602265576","0.9377103068154412","3.434018637341982","9"
